Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BlazeDemo,Edge Chromium 117,,,2023-10-12 12:17:02,2023-10-12 12:18:03,1m - 0.689s,PASSED
,,,,,,,
Test Cases/BlazeDemo/TC30-BookFlight,Edge Chromium 117,,,2023-10-12 12:17:03,2023-10-12 12:18:03,59.513s,PASSED
openBrowser(url),Edge Chromium 117,,,2023-10-12 12:17:07,2023-10-12 12:17:25,18.288s,PASSED
deleteAllCookies(),Edge Chromium 117,,,2023-10-12 12:17:25,2023-10-12 12:17:25,0.698s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-12 12:17:25,2023-10-12 12:17:26,0.332s,PASSED
"selectOptionByValue(findTestObject(""BlazeDemo/Page_BlazeDemo/Departure_City""), Departure_City, false)",Edge Chromium 117,,,2023-10-12 12:17:26,2023-10-12 12:17:30,3.922s,PASSED
"selectOptionByValue(findTestObject(""BlazeDemo/Page_BlazeDemo/Destination_City""), Destination_City, false)",Edge Chromium 117,,,2023-10-12 12:17:30,2023-10-12 12:17:32,2.601s,PASSED
"click(findTestObject(""BlazeDemo/Page_BlazeDemo/Find Flights""))",Edge Chromium 117,,,2023-10-12 12:17:32,2023-10-12 12:17:34,1.958s,PASSED
"click(findTestObject(""BlazeDemo/Page_BlazeDemo - reserve/Choose Flight""))",Edge Chromium 117,,,2023-10-12 12:17:34,2023-10-12 12:17:38,3.831s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/Name""), ""Kelvin"")",Edge Chromium 117,,,2023-10-12 12:17:38,2023-10-12 12:17:40,1.677s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/Address""), ""Tampines"")",Edge Chromium 117,,,2023-10-12 12:17:40,2023-10-12 12:17:41,1.242s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/City""), ""Singapore"")",Edge Chromium 117,,,2023-10-12 12:17:41,2023-10-12 12:17:43,1.578s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/State""), ""NA"")",Edge Chromium 117,,,2023-10-12 12:17:43,2023-10-12 12:17:44,1.547s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/ZipCode""), ""520915"")",Edge Chromium 117,,,2023-10-12 12:17:44,2023-10-12 12:17:46,1.757s,PASSED
"selectOptionByIndex(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/Card_Type""), 2, CONTINUE_ON_FAILURE)",Edge Chromium 117,,,2023-10-12 12:17:46,2023-10-12 12:17:48,1.702s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/CreditCardNumber""), ""76347826489"")",Edge Chromium 117,,,2023-10-12 12:17:48,2023-10-12 12:17:49,1.790s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/CreditCardMonth""), ""12"")",Edge Chromium 117,,,2023-10-12 12:17:49,2023-10-12 12:17:51,1.097s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/CreditCardYear""), ""2025"")",Edge Chromium 117,,,2023-10-12 12:17:51,2023-10-12 12:17:52,1.599s,PASSED
"setText(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/NameOnCard""), ""Kelvin Gan"")",Edge Chromium 117,,,2023-10-12 12:17:52,2023-10-12 12:17:54,1.511s,PASSED
"click(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/RememberMe""))",Edge Chromium 117,,,2023-10-12 12:17:54,2023-10-12 12:17:54,0.818s,PASSED
"verifyElementChecked(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/RememberMe""), 1)",Edge Chromium 117,,,2023-10-12 12:17:54,2023-10-12 12:17:55,0.615s,PASSED
"click(findTestObject(""BlazeDemo/Page_BlazeDemo Purchase/Purchase Flight""))",Edge Chromium 117,,,2023-10-12 12:17:55,2023-10-12 12:18:01,5.531s,PASSED
"verifyTextPresent(""Thank you for your purchase today!"", false)",Edge Chromium 117,,,2023-10-12 12:18:01,2023-10-12 12:18:01,0.407s,PASSED
"takeScreenshot(""C:\desktop\Purchase Confirm.jpg"")",Edge Chromium 117,,,2023-10-12 12:18:01,2023-10-12 12:18:02,0.705s,PASSED
closeBrowser(),Edge Chromium 117,,,2023-10-12 12:18:02,2023-10-12 12:18:03,1.023s,PASSED
